Doctor Name,Years of Experience,PMC Verified,Type,About,Services,Education and Certification,Experience,Clinic Name,Clinic Address,Clinic Fees,Clinic Schedule,Consultation,Consultation Fees,Consultation Schedule,Page Url
Aniqa Haider,7 Year,Yes,General Practitioner,,,,,,,,,,,,https://instacare.pk/doctors/islamabad/general-practitioner/aniqa-haider
Prof. Dr. Joharia Azhar,19 Year,Yes,Dentist,"Professor Dr. Joharia Azhar  is a Professor in Oral pathology and medical education, a  consultant laser dentist, cosmetologist, and aesthetician. One of the pioneers of Laser  dentistry and Laser assisted Pain control clinics.   Dr. Joharia  has practiced in and around  Rawalpindi and Islamabad since 2005. She established and introduced her exclusive  laser dentistry and laser pain control clinics in 2011, which were later expanded into  Pathodont Polyclinics.  She also had the honor of establishing the first diagnostic lab  dedicated to oral pathologies in Rawalpindi and Islamabad in the year 2013, which offered  not only oral histopathology but various salivary diagnostic investigations as well.   holds many academic positions as well. She is Professor and Vice Principal in  Abbottabad International Dental College, head department of Oral Pathology, Chair  Department of Dental Education and Deputy Controller examination.  She has taught as a  professor and Associate Professor in Gulf as well. She was the professor and chair PBL  unit in world's largest all Women university, PNU, located in Riyadh, Kingdom Of Saudia  Arabia, until she returned back to Pakistan. She is the International tutor at Aalz, Aachen  University, Germany, their Fellowship Programme director in Pakistan and Aalz represen tative for Pakistan. She Introduced the German Fellowship in Laser dentistry for the first  time in Pakistan in 2015. She is the Councilor from Pakistan in the ASOMP (Asian Society  of Oral and Maxillofacial Pathology), ISLD ( International Society of Laser Dentistry)  Ambassador for Pakistan and Member of WWD (Worldwide Women Dentists Forum  FDI). She was deputy Reagent section 24 of ICD (International College of Dentists) of  which she also holds the fellowship.  Member Board of Advisors and E-Faculty DOOOX a  European Dental Education portal. Associate editor of ADOH ""Advances in Dentistry and  Oral Health journal"". A reviewer for IDJSR (International Dental Journal of Student  Research) and Iranian Journal of basic medical sciences JBMS. She is the Founding  President of Pakistan Association of Women Dentists (PAWD) and President of the  federal Council Pakistan Society Of Oral & Maxillofacial Pathologists (PSOMP). She is  also the chair person Scientific Committee PSOMP. Member of ALD (Academy of Laser  Dentistry) and IAOP (International Association of Oral Pathology). CEO Pathodont  polyclinics, a pioneering oral diagnostic and laser center and vice chairperson of NGO  Healthnet, member board of directors The Paragon Society.    is an invited  speaker at various conferences and has travelled and published extensively.  She is a graduate of Liaquat University of Medical & Health Sciences LUMHS, after which  she proceeded to UK. Her post graduate training is from London, Germany, and  Islamabad. She is also one of the few Virologists with oral pathology back ground,  currently available in Pakistan  In her private practice she introduced laser dentistry and FDA approved treatment  regimens in Pakistan in 2013. She has now brought the famous Harley street UK  Academy of Facial Design AFD to Pakistan in collaboration with Dr Iviona Igerac and  hosts the facial design Academy London's franchise for Pakistan.  Research Interests:  Oral Pathology, Virology, Oral cancer. Laser dentistry. Medical and dental education.","Braces


Implants


Dentures


Sealants


Bleaching


Rotary Rct


Root Canal


Jewel Teeth


Metal Braces


Metal crowns
 

Bone Grafting


Physiotherapy


Teeth Cleaning


Ceramic Braces


Teeth Whitening


Dental Implants


Artificial Teeth


Invisible Braces


Tooth Extraction


Cosmetic Dentistry


Orthognathic Surgery


Lingual Orthodontics


Orthodontic Treatment


Aesthetic Crown And Bridges",,,,,,,,,,https://instacare.pk/doctors/rawalpindi/dentist/prof-dr-joharia-azhar
Dr. Shehla Javed Akram,32 Year,No,Nutritionist,"Dr. Shehla Javed Akram  is a Nutritionist. She is having over 30 years of experience in the field of Nutritionist and practices at  Akram Medical Complex as CEO.  Her field of interest includes Antenatal Diet, Diabetic Diet, Prenatal Diet, Weight Loss, Weight-Gain, Weight-Loss Diet","Weight Loss


Weight Gain


Prenatal Diet


Diabetic Diet


Antenatal Diet


Weight-Loss Diet",,,Akram Medical Complex,"Ayesha Siddiqa Road, Gulberg, Lahore",Rs. 3000,"Monday
7:00pm - 8:00pm
Tuesday
7:00pm - 8:00pm
Wednesday
7:00pm - 8:00pm
Thursday

7:00pm - 8:00pm

Friday

7:00pm - 8:00pm

Saturday

7:00pm - 8:00pm

Sunday

- 8:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/nutritionist/dr-shehla-javed-akram
Dr. Abdul Rasool Bhurt,40 Year,Yes,Pulmonologist,"Dr. Abdul Rasool Bhurt  is a  Pulmonologist . He is having over 40 years of experience in the field of Pulmonology and practices at  Anum Hospital . His field of interest includes  Allergy, Bronchoscopy, Allergic Rhintis, Allergies To Industrial And Household Pollutants, Breathlessness, Bronchiectatic Disease, Chronic Bronchillis, Cough With Viscous Sputum, Discharging With Difficulties, Frequent Acute Disorders Of Respiratory Tract, Invasive Ventilation, Mucosal Edema, Mucous Plugs, Pneumonia After Acute Stage, Respiratory Infectious Including Pneumonia, Rhinitis And Respiratory Allergies, Wheezing .","TB


Allergy


Asthma


Emphysema


Pollutants


Endoscopy


Lung Cancer


Mucous Plugs


Lung Biopsy


Gastroscopy


Bronchoscopy


Mucosal Edema


Breathlessness


Cystic Fibrosis


Allergic Rhintis


Chest Intubation


Chronic Bronchillis


Invasive Ventilation


Bronchiectatic Disease


Pulmonary Hypertension


Esophagoscopy / Biopsy


CoughWith Viscous Sputum


Pulmonary Rehabilitation


Discharging With Difficulties


Allergies To Industrial And Household


Respiratory Infectious Including Pneumonia


Frequent Acute Disorders Of Respiratory Tract",,,Anum Hospital,"C24, W645+CR2, Khokhrapar Number 2, Extension Colony Pak Kausar Town, Malir, Karachi",Rs. 500,"Friday

11:00am - 3:00pm

Saturday

11:00am - 3:00pm",,,,https://instacare.pk/doctors/karachi/pulmonologist/dr-abdul-rasool-bhurt
Dr. Ali Asad Khan,14 Year,Yes,Gastroenterologist,"Dr. Ali Asad Khan  is a Gastroenterologist Internal Medicine Specialist, Family Physician and Consultant Physician. He is having over 12 years of experience in the field of Gastroenterology and practices at  Iqra Medical Complex . His Field of interest includes Colonoscopy, Constipation Treatment, Corona-Virus Treatment, Diarrhea Treatment, Endoscopy, Gastroscopy, Enteric Fever, Gastric Band Ligation, Hepatitis A,B,C Treatment, Oesophagoscopy, Peg Tube Placement.","Endoscopy


Hepatitis B


Gastroscopy


Oesophagoscopy


Peg Tube Placement


Alcoholic Hepatitis


Colonoscopy (Lower GI Endoscopy)","MD (USA)
FCPS (Med)
MBBS( KE)
MACG (Member American College of Gastroenterology).",Iqra Medical Complex.,Iqra Medical Complex,"24, 25, 26 Maulana Shaukat Ali Rd, Block A, Johar Town, Lahore",Rs. 2000,"Monday
6:30pm - 8:00pm
Tuesday
6:30pm - 8:00pm
Wednesday
6:30pm - 8:00pm
Thursday

6:30pm - 8:00pm

Friday

6:30pm - 8:00pm

Saturday

6:30pm - 8:00pm

Sunday

- 8:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/gastroenterologist/dr-ali-asad-khan
Dr. Faizan Khalid,9 Year,Yes,Regenerative Medicine,"Dr. Faizan Khalid   is a  Regenerative Medicine Specialist . He is having over 9 years experience in the field of  Regenerative Medicine  and  practicing at  K-Health Care Hospital . His field of interest  includes   Hair Loss Treatment, Joint Pain, Prolotherapy, Skin Rejuvenation, Sport Injury, Stem Cells Treatment, Tendonitis.","Tendonitis


Joint Pain


Sport Injury


Prolotherapy


 Skin Rejuvenation


Hair Loss Treatment


Stem Cells Treatment",,,K-Health Care Hospital,"259-E-1, Block 6, Off Shahrah-e-Faisal, near PECHS Trauma Center Hospital, PECHS, Karachi",Rs. 1500,"Monday
1:00pm - 4:00pm
Tuesday
1:00pm - 4:00pm
Wednesday
1:00pm - 4:00pm
Thursday

1:00pm - 4:00pm
 
Friday

1:00pm - 4:00pm

Saturday

1:00pm - 4:00pm

Sunday

- 4:00pm",,,,https://instacare.pk/doctors/karachi/regenerative-medicine/dr-faizan-khalid
Assist. Prof. Dr. Mohsin Naveed,10 Year,Yes,Urologist,"Assist. Prof. Dr. Mohsin Naveed   is a Urologist. He is having over 9 years experience in the field of Urology and  practices at  Al Safiya Medical and Diagnostic Centre . His field of interest includes  Endocrology And Laser Surgery, Enlarge Prostate Diagnostic, Erectile Dysfunction, Kidney Diseases, Kidney Failure, Nephrectomy, Penile Implants, Percutaneous Nephrolithotomy(PCNL), Prostatectomy, Pyelolithotomy, Radical Prostectomy, Venereology, Bladder/Kidney Tumor Surgery, Infertility, Male Sexual Health, Prostate Diseases, Stone Diseases, Stones Of Urinary Tract,","Nephrectomy
 

Prostatectomy


Bladder Stones


Pyelolithotomy


Blood In Urine


Bladder Cancer


Penile Implants


Kidney Failure


Male Infertility


Kidney Infections


Overactive Bladder


Weak Bladder Muscles


Prostate Enlargement


Urinary Bladder Stone


Stones Of Urinary Tract


Percutaneous Nephrolithotomy (PCNL)",,,Al Safiya Medical and Diagnostic Centre,"PSO Pump near UBL Bank, G-8 Markaz, Islamabad",Rs. 2500,"Monday
4:30pm - 5:30pm
Tuesday
4:30pm - 5:30pm
Wednesday
4:30pm - 5:30pm
Thursday

4:30pm - 5:30pm

Friday

4:30pm - 5:30pm

Saturday

4:30pm - 5:30pm

Sunday

- 5:30pm",,,,https://instacare.pk/doctors/islamabad/urologist/assist-prof-dr-mohsin-naveed
Dr. Fayyaz Ahmad Ranjha,41 Year,Yes,Rheumatologist,"Dr. Fayyaz Ahmad Ranjha  is a  Rheumatologist  and  Consultant Physician . He is having over 40 years of experience in the field of  Rheumatology . He practices at  Dr. Fayyaz Ahmad Ranjha Clinic . His field of interest includes   Abnormal RA factor and ANA, Fibromyalgia, Joint Pains, Obesity Management, Osteoarthritis, Rheumatoid Arthritis, Sjogren syndrome, SLE, Vasculitis.","SLE


Gout


Vasculitis


Joint Pains


Fibromyalgia


Facials Palsy


Osteoarthritis


Stroke/Paralysis


Sjogren syndrome


Obesity Management


Knee or Joint pain


Neck & Shoulder pain


Rheumatoid Arthritis


Spinal Cord Diseases


Backache & Sciatica


Abnormal RA factor and ANA


Children & Adult Disabilities


 Osteoporosis & Vitamin D Deficiency


Muscular pain & Other Muscular Diseases


Musculoskeletal & Sports Injuries/Sprain & Strain",,,,,,,,,,https://instacare.pk/doctors/lahore/rheumatologist/dr-fayyaz-ahmad-ranjha
Prof. Brig (R) Dr. Emran Roshan,37 Year,Yes,Pediatrician,"Prof. Brig (R) Dr. Emran Roshan  is a  Pediatrician  and  Neontologist . He is having over 35 years of experience in the field of  Pediatrics and Neontology.  He practices at  Sharif Medical City Hospital   and Saadan Hospital .  His field of interest includes  Allergy In Children, Chest Infection In Children, Child Dietary Consultation, Eating Problems In Children, Emergency Care, Fever In Children, Growth Problem In Children, New Born Examination, Nutritional Assessment, Pediatric Consultation, Treatment of Infections, Vaccination .","Vaccination


Poor Growth


Emergency Treatment


Allergy In Children


New Born Examination


Nutritional Assessment


Pediatric Consultation


Treatment of Infections


Child Dietary Consultation",,,Sharif Medical City Hospital,"Off Raiwand Rd, Jati Umra, Raiwind, Lahore",Rs. 2000,"Monday
9:00am - 2:00pm
Tuesday
9:00am - 2:00pm
Wednesday
9:00am - 2:00pm
Thursday

9:00am - 2:00pm

Friday

9:00am - 12:00pm

Saturday

9:00am - 2:00pm

Sunday

- 2:00pm

Monday
8:00pm - 10:00pm
Tuesday
8:00pm - 10:00pm
Wednesday
8:00pm - 10:00pm
Thursday

8:00pm - 10:00pm
 
Friday

8:00pm - 10:00pm

Sunday

- 10:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/pediatrician/prof-brig-r-dr-emran-roshan
Dr. Col. (R) Aijaz Ahmed Khan,40 Year,Yes,Eye Specialist,"Dr. Col. (R) Aijaz Ahmed Khan  is a Eye  Specialist. He is having over 40 years of experience in the field of ophthalmology and practices at  Reliance Hospital .  His field of interest includes  Vitreo Retinal Surgery, Squint Cosmetic Surgery, Corneal Surgery, Femto Lasik, Glaucoma Surgery, Orbital Surgery, Laser Eye Surgery, Canaloplasty, Eye Muscle Surgery, Eyelid Surgery, Argon, Cataract Eye Surgery, Diabetic Retinopathy, Eye Removal, Lacrimal Surgery, Managing Diabetic Eye Disease, Minimally Invasive Surgeries, Occuplasty, Phaco Surgery For Cataract, Pterygium Excision With Stem Cell Graft, Refractive Surgery, Squint Surgery","Stye


Squit


Argon


Dry Eye


Red Eye
 

Spectacles


Low Vision


Occuplasty


Contact Lens


Femto Lasik


Eye Removal


Ocular Trauma


Lasik Surgery


Canaloplasty


Artificial Eye
 

Conjunctivitis


Eyelid Surgery


Corneal Surgery


Orbital Surgery


Diabetic Eye Care


Orbit Oculoplasty


Advance Refraction


Laser Eye Surgery


Pediatric Optometry


Vitro-Retinl Surgery


Squint Cosmetic Surgery


Cataract Surgery With Phacoemulsification",,,Reliance Hospital,"132 Civic Center- Phase 4 Near KFC, Bahria Town, Islamabad",Rs. 2000,"Monday
4:00pm - 8:15pm
Tuesday
4:00pm - 8:15pm
Wednesday
4:00pm - 8:15pm
Thursday

4:00pm - 8:15pm

Friday

4:00pm - 8:15pm

Saturday

4:00pm - 8:15pm

Sunday

- 8:15pm",,,,https://instacare.pk/doctors/islamabad/eye-specialist/dr-col-r-aijaz-ahmed-khan
Dr. Capt. Abdul Hakeem,48 Year,Yes,Pediatrician,"Dr. Capt. Abdul Hakeem  is a Pediatrician . He is having over 47 years of experience in the field of  Pediatrics  and practices at   Mohammad Medicomplex .  His field of interest includes  Autism, Cerebral Palsy, Genetic Defects, Asthma, Headaches, Abdominal Pain, Enuresis, ADHD, Allergies, Behaviour Problems, Brain Conditions, Constipation, Developmental Delay, Developmental Dysplasia, Encopresis, Faecal Incontinenceor, Fragile X Syndrome, Poor Growth, Sleep Problems, Adolescent Medicine, Complete Vaccination, Diarrhea, Gastroenterological Problems, Hematogic Complications, Immunization, Immunologic Complications, Management Of Pediatric Illness, Newborn Babies Health Problems, Newborn Illnesses, Nutrition Assessment, Opd Consultation, Respiratory Complications, Respiratory Tract Infections, Short Stature, Underweight Children,, Vaccination Against Chicken Pox, Vaccination Against Flu, Vaccination Against Hepatitis, Vaccination Against Measles, Vaccination Against Meningitis, Vaccination Against Mumps, Vaccination Against Pneumonia, Vaccination Against Polio, Vaccination Against Rubella, Vaccination Against Tb, Vaccination Against Tetanus, Vaccination Against Typhoid.","ADHD


Autism


Asthma


Diarrhea


Asthma TB


Allergies


Vomiting


Headaches


Encopresis


Poor Growth


Vaccination


Immunization


Renal Issues


Constipation


Short Stature


GIT Disorder


CNS Problems


Cerebral Palsy


Blood Disorder


Sleep Problems


Growth Issues


Genetic Defects


Brain Conditions


Newborn Illnesses
 

Chest Infections


Seizures Problems


Neonatal Disease


Behaviour Problems


Fragile X Syndrome


Adolescent Medicine


Developmental Delay


Emergency Treatment


Allergy In Children


Breathing Problems


Nutrition Assessment


Complete Vaccination


Dietary Consultation


Underweight Children


Faecal Incontinenceor


Developmental Dysplasia


Pediatric Consultation


Nutritional Assessment


Treatment of Infections


Detailed Newboarn Examine


Management Of Pediatric Illness",,,,,,,,,,https://instacare.pk/doctors/karachi/pediatrician/dr-capt-abdul-hakeem
Dr. Fehmeda Farrukh Khan,32 Year,Yes,Endocrinologist,"M.B.B.S. - Allama Iqbal Medical College, Pakistan F.C.P.S (Medicine) - College of Physicians & Surgeons Pakistan (CPSP), Pakistan F.C.P.S (Endocrinology) - College of Physicians & Surgeons Pakistan (CPSP), Pakistan PG Diploma in Diabetes - Cardiff University School of Medicine, United Kingdom, 2013. Experience: Chughtai Medical Center Dha phase 2. Dr. Fehmeda Farrukh Khan    is a  Endocrinologist  and  Diabetologist . She is having over 30 years of experience in the field of  Endocrinology  and Diabetology. She practices at  Chughtai Medical Center Dha phase 2 as Endocrinologist. Her field of interest includes Diabetes Type 1, Diabetes Type 2, Growth Disorders, Infertility, Insulin Pump Therapy And CGM, Lipid Abnormalities, Obesity Management, Osteoporosis, Parathyroid Gland Disorders, Pituitary Gland Disorders, Thyroid FNAC, Thyroid Gland Diseases, Thyroid Nodule, Thyroid Specialist,  Thyroid  Ultrasound.","Parathyroid


Thyroid Fnac


Thyroid Nodule


Diabetes Type I


Diabetes Type II


Growth Disorders


Thyroid Ultrasound


Lipid Abnormalities


Diabetic Pump Therapy


Infertility Treatment


Osteoporosis Management


Parathyroid Gland Disorders",,,Chughtai Medical Center Dha phase 2,"CCA plaza no 09 Lalik jan chowk Sector T Sector S, Dha phase 2, Lahore",Rs. 2500,"Monday
3:00pm - 5:00pm
Thursday

3:00pm - 5:00pm

Saturday

3:00pm - 5:00pm

Sunday

- 5:00pm",,,,https://instacare.pk/doctors/lahore/endocrinologist/dr-fehmeda-farrukh-khan
Dr. Monica,14 Year,Yes,Gynecologist,"MBBS FCPS (Obstetrics and Gynecology) Experience: Civil Hospital Karachi Hilal e Ahmar hospital Altamash General Hospital Karachi Clifton. Dr. Monica  is a Gynecologist and Obstetrician.  She is having over 12 years of experience in the field of  Gynecology in   and also practices at  Health Care Clinic by Dr. Monica , Altamash General Hospital  and  Hilal-E-Ahmar Hospital .  Her field of interest includes Antenatal Checkup, Postnatal Checkup, Subfertility Treatment, Fibroid Treatment, Endometriosis Treatment, Dealing with high risk pregnancieslike anemia, Gestational Diabetes, Pregnancy induced hypertension, Dealing with Menstrual irregularities, Polycystic ovarian syndrome, Pelvic inflammatory diseases.","Postnatal Checkup


Antenatal Checkup


Fibriod Treatment


Gestational Diabetes


Subfertilty Treatment


Endometriosis Treatment


Pelvic inflamatory diseases


Polycystic ovarian syndrome


Pregnancy induced hypertension
 

Dealing with Menstrual irregularities


Dealing with high risk pregnancieslike anemia",,"Civil Hospital Karachi
Hilal e Ahmar hospital
Altamash General Hospital Karachi Clifton.",,,,,,,,https://instacare.pk/doctors/karachi/gynecologist/dr-monica
Dr. Badar Ul Kalam,40 Year,Yes,ENT Specialist,"Dr. Badar Ul Kalam  is a  ENT Specialist . He is having over 40 years of experience in the field of  ENT  and practices at  Anum Hospital . His field of interest includes   Cancer in region of Head and Neck, Ear Wax Removal, FESS, Goitre, Head And Neck Infections, Headache, Hearing Evaluation And Management, Laryngoscopy, Myringotomy, Nasal Allergy, Nose Shape Change Goitre, Thyroid Surgery, Tracheostomy, Tonsillectomy, Tinnitus treatment .","FESS


 Tonsils


Goitre


Rhinitis


Tinnitus


Dizziness


Headache


Sinusitis


Hoarseness


Coblation


Neck Masses


Myringotomy


Ear Suction


Tracheostomy


Laryngoscopy


Throat Tumors


Dust Allergy


Adenoidectomy


Ear Cleaning


Tonsillectomy


Graves Disease


Nasal Allergy


Deviated Septum


Ear Wax Removal


Nasal Obstruction


Allergy Treatment


Asthma And Allergy


Repair Of Ear Drum


Nasal Polypectomy


Grommet Insertion


Vocal Cord Disorder


Tonsillitis Treatment


Fungal Sinus Clearance


Head And Neck Infections


Nose Shape Change Goitre


Gastroesophageal Reflux Disease",,,Anum Hospital,"C24, W645+CR2, Khokhrapar Number 2, Extension Colony Pak Kausar Town, Malir, Karachi",Rs. 1000,"Saturday

1:00pm - 2:00pm",,,,https://instacare.pk/doctors/karachi/ent-specialist/dr-badar-ul-kalam
Dr. Muhammad Ghafoor Khan,30 Year,Yes,Urologist,"Dr. Muhammad Ghafoor Khan   is a Urologist. He is having over 30 years experience in the field of Urology and  practices at  Q uest Medical Complex . His field of interest includes  Endourology  And Laser Surgery, Enlarge Prostate Diagnostic, Erectile Dysfunction, Kidney Diseases, Kidney Failure, Nephrectomy, Penile Implants, Percutaneous Nephrolithotomy(PCNL), Prostatectomy, Pyelolithotomy, Radical Prostectomy, Venereology, Bladder/Kidney Tumor Surgery, Infertility, Male Sexual Health, Prostate Diseases, Stone Diseases, Stones Of Urinary Tract,","Fistula


Bedwetting


Nephrectomy


Hernia Repair


Ureter Stones


Prostatectomy


Pyelolithotomy


Bladder Cancer


Kidney Cancer


Ureterolithotomy


Male Infertility


Kidney Infections


Overactive Bladder


Prostate Enlargement


Weak Bladder Muscles


Stones Of Urinary Tract


Urinary Tract Infections


Percutaneous Nephrolithotomy (PCNL)",,,Quest Medical Complex,"Near Pump General Apartments D, G-8 Markaz, Islamabad",Rs. 3000,"Monday
4:00pm - 6:00pm
Tuesday
4:00pm - 6:00pm
Wednesday
4:00pm - 6:00pm
Thursday

4:00pm - 6:00pm

Friday

4:00pm - 6:00pm

Sunday

- 6:00pm",,,,https://instacare.pk/doctors/islamabad/urologist/dr-muhammad-ghafoor-khan
Dr. Muhammad Bilal Awan,10 Year,Yes,Gastroenterologist,"Dr. Ali Asad Khan  is a Gastroenterologist and Hepatologist. He is having over 9 years of experience in the field of Gastroenterology and practices at  Rai Medical Complex . His Field of interest includes Colonoscopy, Constipation Treatment, Corona-Virus Treatment, Diarrhea Treatment, Endoscopy, Gastroscopy, Enteric Fever, Gastric Band Ligation, Hepatitis A,B,C Treatment, Oesophagoscopy, Peg Tube Placement.","Endoscopy


Gastroscopy


Constipation


Oesophagoscopy


Enteric Fever


Hepatitis A/B/C


Chronic Diarrhea


Peg Tube Placement


Endoscopic Band Ligation


Colonoscopy (Lower GI Endoscopy)",,,,,,,,,,https://instacare.pk/doctors/sargodha/gastroenterologist/dr-muhammad-bilal-awan
Dr. Muhammad Fayyaz,8 Year,Yes,Radiologist,"Dr. Muhammad Fayyaz  is a Radiologist . H e is having over 7 years of experience in the field of  Radiology  and practices at  Capital Diagnostic Centre (Blue Area) .  His field of interest includes  Transvaginal Sonography, CT Scan, MRI, Dexa Scan, Ultrasound Guided Procedures, 3D CT Scan Imaging, Dental X-Rays, Prevention And Guidance For Breast Disease, Screening, Transrectal Ultrasound.","MRI


TVS


CT Scan


Venous


Cranial


Arterial


Dexa Scan


Screening


Dental X-Rays


Thyroid Scan


3D CT Scan Imaging


Breast Ultrasound


Carotid Ultrasound


Doppler Ultrasound


Abdominal Ultrasound


Transrectal Ultrasound


 Transvaginal Sonography


Obstetrical Ultrasound


All Types Of Ultrasound


Gynecological Ultrasound


Prevention And Guidance For Breast Disease",,,Capital Diagnostic Centre (Blue Area),"22 Service Road, Pak Plaza, Fazl e Haq Road, Blue Area, Islamabad",Rs. 2000,"Monday
2:00pm - 4:00pm
Tuesday
2:00pm - 4:00pm
Wednesday
2:00pm - 4:00pm
Thursday

2:00pm - 4:00pm

Friday

2:00pm - 4:00pm

Saturday

2:00pm - 4:00pm

Sunday

- 4:00pm",,,,https://instacare.pk/doctors/islamabad/radiologist/dr-muhammad-fayyaz
Dr. Malik Jawad Faisal,15 Year,Yes,ENT Specialist,"Dr. Malik Jawad Faisal  is a  ENT Specialist . He is having over 15 years of experience in the field of  ENT  and practices at  HM Diagnostics & Clinics . His field of interest includes   Cancer in region of Head and Neck, Ear Wax Removal, FESS, Goitre, Head And Neck Infections, Headache, Hearing Evaluation And Management, Laryngoscopy, Myringotomy, Nasal Allergy, Nose Shape Change Goitre, Thyroid Surgery, Tracheostomy, Tonsillectomy, Tinnitus treatment .","FESS


Goitre


Headache


Myringotomy


Laryngoscopy


Tracheostomy


Tonsillectomy


Nasal Allergy


Thyroid Surgery


Ear Wax Removal


Tinnitus treatment


Head And Neck Infections


Nose Shape Change Goitre


Cancer in region of Head and Neck


Hearing Evaluation And Management",,,HM Diagnostics & Clinics,"Basement # 13, 14, Crescent Arcade, Markaz Rd, G-8 Markaz, Islamabad",Rs. 1500,"Monday
6:00pm - 7:00pm
Tuesday
6:00pm - 7:00pm
Wednesday
6:00pm - 7:00pm
Thursday

6:00pm - 7:00pm

Friday

6:00pm - 7:00pm

Saturday

6:00pm - 7:00pm

Sunday

- 7:00pm",,,,https://instacare.pk/doctors/islamabad/ent-specialist/dr-malik-jawad-faisal
Dr. M. Kaleem,8 Year,Yes,Medical Specialist,"Dr. M. Kaleem  is a Medical Specialist . He is having over 6 years of experience in the field of General Medicine and practices at  Ibrahim Medical Center .  His field of interest includes Cardiology Medicine (General), Constipation Treatment, Corona-Virus Treatment, Diabetes Management, Diarrhea Treatment, Gastroscopy, Hepatitis A Treatment, Hepatitis B Treatment.","Gastroscopy


Diarrhea Treatment


Diabetes Management


Hepatitis C Treatment


Hepatitis A Treatment


Hepatitis B Treatment


Constipation Treatment


Corona-Virus Treatment


Cardiology Medicine (General)",,,,,,,,,,https://instacare.pk/doctors/lahore/medical-specialist/dr-m-kaleem
Dr. Muhammad Haris Burki,25 Year,Yes,Sexologist,"Dr. Muhammad Haris Burki  is a  Sexologist, Male Sexual Health Specialist and Psychiatrist . He is having over 24 years of experience in the field of Sexology and practices at  Liver Clinic .  His field of interest includes  Burning Micturition, Erectile Dysfunction, Female Urinary Incontinence, Male Infertility, Percutaneous Nephrolithotomy (PCNL), Radical Prostectomy, Sexual Dysfunctions, Undescended Testicles","Impotence


Low Sex Drive


Male Infertility


Burning Micturition


Radical Prostectomy


Sexual Dysfunctions


 Erectile Dysfunction


Undescended Testicles


Female Urinary Incontinence


Male / Female Sexual Problems


Percutaneous Nephrolithotomy (PCNL)",,,Liver Clinic,"88-A, New Muslim Town, Lahore",Rs. 3500,,,,,https://instacare.pk/doctors/lahore/sexologist/dr-muhammad-haris-burki
